cnpj_raiz,data_base,cresc_3m,cresc_12m
00000000,202501,,
00000000,202502,,
00000000,202503,,
00000000,202504,0.008985563383462791,
00000000,202505,0.008197636781071882,
00000000,202506,0.0066987665850246625,
00000000,202507,0.1113057944808471,
00000000,202508,0.08497632099393604,
00000000,202509,0.04300931654711215,
00000000,202510,-0.05509874294251804,
00000000,202511,-0.01320283123776722,
00000000,202512,0.007021844058292315,
00000000,202601,0.01644701226518519,0.07693552070782772
00000000,202602,-0.003286872820572051,0.0758804305676215
00000000,202603,0.1270096208051128,0.1916651507301388
00000000,202604,0.08164800883877299,0.15449140591783128
00000000,202605,0.06544408935101331,0.13696997868048988
00000208,202501,,
00000208,202502,,
00000208,202503,,
00000208,202504,0.06768859755179846,
00000208,202505,0.12492906617042032,
00000208,202506,0.13585485617765647,
00000208,202507,0.014201237684102752,
00000208,202508,0.017951501996079422,
00000208,202509,0.14564655328887843,
00000208,202511,0.13101220376723033,
00360305,202501,,
00360305,202502,,
00360305,202503,,
00360305,202504,0.03238234233924708,
00360305,202505,0.004683028930307476,
00360305,202506,0.0013025714674796962,
00360305,202507,0.25459613117035196,
00360305,202508,0.16985874002497803,
00360305,202509,0.12617621734147177,
00360305,202510,-0.12231684506824736,
00360305,202511,-0.08224703068756334,
00360305,202512,-0.0635150019139441,
00360305,202601,-0.05284933926892832,0.0767164334397219
00360305,202602,-0.011531838103768122,0.06623018687521043
00360305,202603,0.3041563633988327,0.37721635836543976
00360305,202604,0.14233395700350848,0.1913897531363693
00360305,202605,0.108104038522429,0.17598679588415966
04902979,202501,,
04902979,202502,,
04902979,202503,,
04902979,202504,0.02199600465584739,
04902979,202505,0.05020471682485428,
04902979,202506,0.039373050650227004,
04902979,202507,0.040103911894444844,
04902979,202508,0.00742260919453086,
04902979,202509,0.0198379757601157,
04902979,202510,0.006570206589958216,
04902979,202511,0.03563241303270481,
04902979,202512,0.03907880944380415,
04902979,202601,0.03264916754942426,0.10489955497225001
04902979,202602,0.016018853922312504,0.11325091146139665
04902979,202603,0.012410570843014224,0.11508453071189084
04902979,202604,0.05825461013452293,0.1440994313658901
04902979,202605,0.01967276062129697,0.08088605199373733
04913711,202501,,
04913711,202502,,
04913711,202503,,
04913711,202504,2.7012663326396473,
04913711,202505,0.18974462330323116,
04913711,202506,-0.8179121105347807,
04913711,202507,0.1257061451397543,
04913711,202508,-0.1757232635977919,
04913711,202509,0.9038097241777767,
04913711,202510,1.7789952353158434,
04913711,202511,0.46978680237315995,
04913711,202512,0.21153148973393265,
04913711,202601,-0.8935462388906431,0.23260574030111258
04913711,202602,0.22806628597982948,0.7701209657310975
04913711,202603,-0.23601280551914794,-0.6791327524875967
04913711,202604,-0.3976971558215565,-0.7994194752787287
04913711,202605,-0.34774693296867576,-0.02956751701134397
07237373,202501,,
07237373,202502,,
07237373,202503,,
07237373,202504,0.013808880166197746,
07237373,202505,0.0008760782279528812,
07237373,202506,0.010748101008595023,
07237373,202507,-0.004726514222083256,
07237373,202508,-0.001578351549647805,
07237373,202509,-0.009195914776839564,
07237373,202510,0.00597256025459858,
07237373,202511,0.0008737627540666981,
07237373,202512,0.011734342698342948,
07237373,202601,0.011764388236425338,0.02698487946137762
07237373,202602,0.014419828389819145,0.014591764277597674
07237373,202603,0.010912271691399855,0.02426110983791485
07237373,202604,0.00835246701117831,0.02145755185957099
07237373,202605,0.014798794879526511,0.028705273390600805
13009717,202501,,
13009717,202502,,
13009717,202503,,
13009717,202504,0.1743039981751504,
13009717,202505,0.14682881060036967,
13009717,202506,0.038403522106823074,
13009717,202507,0.032309532353239856,
13009717,202508,0.03258503353000597,
13009717,202509,0.019304856960256966,
13009717,202510,-0.008597745381306976,
13009717,202511,-0.025278750551027684,
13009717,202512,-0.04755877456800528,
13009717,202601,-0.04400706867699955,0.14893394427175943
13009717,202602,-0.03404123784310198,0.11497066470479078
13009717,202603,-0.012849304215427071,-0.004842346892631633
13009717,202604,-0.028105704879722082,-0.04910283227937007
13009717,202605,-0.038114260995473104,-0.06483481067545604
17184037,202501,,
17184037,202502,,
17184037,202503,,
17184037,202504,0.019106216464589654,
17184037,202505,0.020002352758620612,
17184037,202506,0.020102480862838945,
17184037,202507,0.020493109690996603,
17184037,202508,0.020369235793857632,
17184037,202509,0.020387886173265368,
17184037,202510,0.020376349327835053,
17184037,202511,0.02017583476424223,
17184037,202512,0.020508531884039227,
17184037,202601,0.020282193548821104,0.0827051897746025
17184037,202602,0.019785470664009264,0.0827853764399673
17184037,202603,0.020134927056394636,0.08363582627942079
17184037,202604,0.019995357706340977,0.08364981931501148
17184037,202605,0.020810670620798,0.08364344775550281
28127603,202501,,
28127603,202502,,
28127603,202503,,
28127603,202504,0.03743258839017671,
28127603,202505,0.05002607669211634,
28127603,202506,0.044845748721689116,
28127603,202507,0.040323259100568,
28127603,202508,0.037155006747684904,
28127603,202509,0.040266382863917594,
28127603,202510,0.030768570614983393,
28127603,202511,0.024292078267687423,
28127603,202512,0.08700348283175896,
28127603,202601,0.08156456632543008,0.20321105392224892
28127603,202602,0.08005182973585634,0.20479224600504464
28127603,202603,0.03418043854453612,0.2218671771061933
28127603,202604,0.0035321669360366403,0.1638934517158841
28127603,202605,0.002485201332991238,0.1502441930829641
28195667,202501,,
28195667,202502,,
28195667,202503,,
28195667,202504,0.01888963957788592,
28195667,202505,0.02004237239513662,
28195667,202506,0.02018602217990173,
28195667,202507,0.020647761456837666,
28195667,202508,0.020732670837187328,
28195667,202509,0.02078159772281296,
28195667,202510,0.020746533966609082,
28195667,202511,0.02050518881719854,
28195667,202512,0.02074080497669306,
28195667,202601,0.020613547855902192,0.08338364841526413
28195667,202602,0.01992756222771308,0.08371422411114526
28195667,202603,0.019843980184095056,0.08408020437410624
28195667,202604,0.019684275754501046,0.08422858373185127
28195667,202605,0.02059717338832945,0.08430365622116853
60701190,202501,,
60701190,202502,,
60701190,202503,,
60701190,202504,0.022781074397198786,
60701190,202505,0.027873699511682393,
60701190,202506,0.02819412759486961,
60701190,202507,0.02486008919171856,
60701190,202508,0.020121612785829912,
60701190,202509,0.01992243517815928,
60701190,202510,0.019936877934781494,
60701190,202511,0.02033684150314463,
60701190,202512,0.012928772392098109,
60701190,202601,-0.0678651195218053,-0.0034494835655659584
60701190,202602,-0.12584993510673903,-0.06476389425386087
60701190,202603,-0.11935778950517828,-0.06454980539586685
60701190,202604,-0.043407227843574536,-0.06794030025264275
60701190,202605,0.0196854816928127,-0.07221414514515101
60746948,202501,,
60746948,202502,,
60746948,202503,,
60746948,202504,0.005228249631057613,
60746948,202505,0.005470191538224034,
60746948,202506,0.01788852696698018,
60746948,202507,0.019369696041010354,
60746948,202508,0.02040771599015878,
60746948,202509,0.021019190198587,
60746948,202510,0.0204622571247699,
60746948,202511,0.019079435919787224,
60746948,202512,0.013412867893569214,
60746948,202601,0.016335715523166927,0.06274859068406657
60746948,202602,0.016481390948815955,0.06279720630358776
60746948,202603,0.02080689371345734,0.075137804061848
60746948,202604,0.01759753451695012,0.07582566057846774
60746948,202605,0.018302880072294192,0.07636155225650865
90400888,202501,,
90400888,202502,,
90400888,202503,,
90400888,202504,0.018936853594264003,
90400888,202505,0.018268382928135374,
90400888,202506,0.01882411937052053,
90400888,202507,0.01603637425673865,
90400888,202508,0.01601265608956637,
90400888,202509,0.016249124010967897,
90400888,202510,0.01614595231010152,
90400888,202511,0.015808328482717293,
90400888,202512,0.01601189677449888,
90400888,202601,0.01886844492355455,0.07184189925384721
90400888,202602,0.019766507244613596,0.07170162777965672
90400888,202603,0.019689667635939934,0.0726701959942222
90400888,202604,0.019648551345937904,0.07259054964092249
90400888,202605,0.017742804747314933,0.07114847008434366
92702067,202501,,
92702067,202502,,
92702067,202503,,
92702067,202504,0.061193309598015944,
92702067,202505,0.052296899723732304,
92702067,202506,0.14936383567765366,
92702067,202507,0.09278567289406481,
92702067,202508,0.07515049580173216,
92702067,202509,-0.015412418433843555,
92702067,202510,0.02186866125934861,
92702067,202511,0.0716546860524534,
92702067,202512,0.11883838083038678,
92702067,202601,0.10790606912645462,0.31288751259987
92702067,202602,0.05310639217747548,0.276834670087982
92702067,202603,0.017087583401188322,0.2877678855752295
92702067,202604,0.011201843272640177,0.25103905268072046
92702067,202605,0.011098973162458448,0.22684598250087284
