data_base,cnpj_raiz,nome_instituicao,ente_destino,conta,saldo,arquivo,linha_arquivo,sha256_arquivo
202503,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,3584654694.08,202503BANCOS.CSV,1072,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444
202503,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1524518444.51,202503BANCOS.CSV,1073,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444
202503,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,357529679850.32,202503BANCOS.CSV,1650,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444
202503,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5264865981.9,202503BANCOS.CSV,1651,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444
202503,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,960134286.29,202503BANCOS.CSV,1652,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444
202504,28127603,BCO BANESTES S.A.,Municipios,9090900001,474128697.71,202504BANCOS.CSV,21402,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,59200953696.76,202504BANCOS.CSV,592,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,22109893131.65,202504BANCOS.CSV,593,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,219485338.18,202504BANCOS.CSV,16518,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13522677.4,202504BANCOS.CSV,16519,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202504BANCOS.CSV,50508,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,114791666.12,202504BANCOS.CSV,50509,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,4242459993.31,202504BANCOS.CSV,1068,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1524363308.11,202504BANCOS.CSV,1069,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,359316109316.97,202504BANCOS.CSV,1646,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5277237277.04,202504BANCOS.CSV,1647,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202504,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,977803094.58,202504BANCOS.CSV,1648,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1
202505,28127603,BCO BANESTES S.A.,Municipios,9090900001,476418001.79,202505BANCOS.CSV,21457,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,59704174496.86,202505BANCOS.CSV,595,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,22214449864.44,202505BANCOS.CSV,596,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,217417644.63,202505BANCOS.CSV,16577,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13509307.08,202505BANCOS.CSV,16578,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202505BANCOS.CSV,50703,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,114444812.34,202505BANCOS.CSV,50704,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,4223983725.91,202505BANCOS.CSV,1072,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1525229659.13,202505BANCOS.CSV,1073,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,362774118723.68,202505BANCOS.CSV,1660,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5299355794.61,202505BANCOS.CSV,1661,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202505,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,989708629.54,202505BANCOS.CSV,1662,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494
202506,28127603,BCO BANESTES S.A.,Municipios,9090900001,478632940.14,202506BANCOS.CSV,21650,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60392497968.18,202506BANCOS.CSV,600,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,22367588734.19,202506BANCOS.CSV,601,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,215548030.41,202506BANCOS.CSV,16707,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
