data_base,cnpj_raiz,nome_instituicao,conta,nome_conta,saldo,arquivo,linha_arquivo,sha256_arquivo,fonte
202501,13009717,BCO DO EST. DE SE S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,13336671.51,202501BANCOS.CSV,16135,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,04913711,BCO DO EST. DO PA S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,409647.5,202501BANCOS.CSV,9795,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,04913711,BCO DO EST. DO PA S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-315.86,202501BANCOS.CSV,9913,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,92702067,BCO DO ESTADO DO RS S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,8315828991.32,202501BANCOS.CSV,48967,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,92702067,BCO DO ESTADO DO RS S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-57543285.17,202501BANCOS.CSV,49134,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,92702067,BCO DO ESTADO DO RS S.A.,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,10378683442.94,202501BANCOS.CSV,49217,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,92702067,BCO DO ESTADO DO RS S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,116378408.91,202501BANCOS.CSV,49218,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,07237373,BCO DO NORDESTE DO BRASIL S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,201059055.23,202501BANCOS.CSV,11019,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,07237373,BCO DO NORDESTE DO BRASIL S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-1266480.54,202501BANCOS.CSV,11170,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,17184037,BCO MERCANTIL DO BRASIL S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,809592.0,202501BANCOS.CSV,18410,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
