cnpj_raiz,nome_instituicao,regra,valor_observado,limiar,explicacao,materialidade,data_base,fonte,status_apuracao,aviso
00360305,CAIXA ECONOMICA FEDERAL,ampliado_sobre_pl,4.9796,3.0,"Estoque ampliado (mantido + repassado) superior a 3x o patrimonio liquido. Medida de escala e concentracao, nao estimativa automatica de perda.",media,202603,BCB balancete doc. 4010,sinal_para_investigacao,Red flag e sinal para investigacao e nao prova de irregularidade.
00000208,BRB - BCO DE BRASILIA S.A.,ausencia_ultima_base,,,Instituicao ausente do balancete publico desde 202511. Possivel atraso de demonstracoes/balancetes — verificar razao junto a fontes primarias.,alta,202603,BCB balancete doc. 4010,sinal_para_investigacao,Red flag e sinal para investigacao e nao prova de irregularidade.
00000208,BRB - BCO DE BRASILIA S.A.,mantidos_sobre_captacao,0.3159,0.2,"Depositos judiciais mantidos representam parcela relevante da captacao (dependencia de funding). Medida de escala, nao estimativa de perda. Dado defasado: ultima base disponivel da instituicao (202511), anterior a 202603.",alta,202511,BCB balancete doc. 4010,sinal_para_investigacao,Red flag e sinal para investigacao e nao prova de irregularidade.
00000208,BRB - BCO DE BRASILIA S.A.,ampliado_sobre_pl,7.9442,3.0,"Estoque ampliado (mantido + repassado) superior a 3x o patrimonio liquido. Medida de escala e concentracao, nao estimativa automatica de perda. Dado defasado: ultima base disponivel da instituicao (202511), anterior a 202603.",alta,202511,BCB balancete doc. 4010,sinal_para_investigacao,Red flag e sinal para investigacao e nao prova de irregularidade.
